"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","1","","Tests","","Tests","lenEqualBorderSuccessfulTest","Title length equal upper border",""
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","2","","Tests","","Tests","nullStringUnSuccessfulTest","Title string is null",""
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","1","","Tests","","Tests","emptyStringUnSuccessfulTest","Empty title string",""
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","1","","Tests","","Tests","lenAboveBorderSuccessfulTest","Title length above upper border",""
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","1","","Tests","","Tests","lenEqualBorderLastCharSpaceSuccessfulTest","Title length equal upper border and last character is space",""
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","59","","Tests","","Tests","anotherLanguageSuccessfulTest","Enter title on language which different from English",""
"passed","Sun Jan 22 07:47:59 GMT 2023","Sun Jan 22 07:47:59 GMT 2023","1","","Tests","","Tests","lenWithinBorderSuccessfulTest","Title length within border",""
